,area,price,sqFt,sqFt price,Bedrooms,posted date
0," Banjara Hills, Hyderabad",3.9 crores,3388 SqFeet,11500,3 Bedroom,18 minutes ago
1," Banjara Hills, Hyderabad",2.85 crores,2477 SqFeet,11500,3 Bedroom,18 minutes ago
2," Station Township, Gachibowli",99 lakhs,1894 SqFeet,5227,3 Bedroom,
3," Station Township, Gachibowli",99 lakhs,1784 SqFeet,5549,3 Bedroom,
4," Station Township, Gachibowli",99 lakhs,1687 SqFeet,5868,3 Bedroom,
5," Station Township, Gachibowli",96 lakhs,124.86 SqMeters,,3 Bedroom,
6," Station Township, Gachibowli",99 lakhs,1432 SqFeet,6913,3 Bedroom,
7," Station Township, Gachibowli",99 lakhs,2191 SqFeet,4518,3 Bedroom,
8," Nagar Colony, Hyderabad",1.25 crore,1920 SqFeet,6510,3 Bedroom,Yesterday
9," Banjara Hills, Hyderabad",2.76 crores,2400 SqFeet,11500,3 Bedroom,3 days ago
10," in Attapur, Hyderabad",2.14 crores,2680 SqFeet,8000,3 Bedroom,3 days ago
11," in Patelguda, Hyderabad",38.58 lakhs,988 SqFeet,3905,2 Bedroom,4 days ago
12," in Muthangi, Hyderabad",30.5 lakhs,888 SqFeet,3435,2 Bedroom,5 days ago
13," in Muthangi, Hyderabad",33.88 lakhs,909 SqFeet,3727,2 Bedroom,6 days ago
14," in Muthangi, Hyderabad",36.2 lakhs,966 SqMeters,,2 Bedroom,6 days ago
15," in Kistareddypet, Hyderabad",44.2 lakhs,954 SqFeet,4633,2 Bedroom,6 days ago
16," in Satamrai, Hyderabad",44 lakhs,800 SqFeet,5500,2 Bedroom,6 days ago
17," in Indresham, Hyderabad",35.2 lakhs,977 SqFeet,3603,2 Bedroom,6 days ago
18," in Patelguda, Hyderabad",45.5 lakhs,1000 SqFeet,4550,2 Bedroom,6 days ago
19," in Beeramguda, Hyderabad",45.05 lakhs,1088 SqFeet,4141,2 Bedroom,6 days ago
20," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,6 days ago
21," in Attapur, Hyderabad",1.31 crore,1640 SqFeet,8000,3 Bedroom,6 days ago
22," Reddy Nagar, Hyderabad",40 - 60 lacs,1100 SqFeet,,2 Bedroom,5 days ago
23," Station Township, Gachibowli",,1432 SqFeet,,2 Bedroom,
24," in Patancheru, Hyderabad",32.18 lakhs,900 SqFeet,3576,2 Bedroom,7 days ago
25," Chanda Nagar, Hyderabad",42.55 lakhs,1199 SqFeet,3549,2 Bedroom,7 days ago
26," in Indresham, Hyderabad",33.1 lakhs,908 SqFeet,3645,2 Bedroom,7 days ago
27," in Indresham, Hyderabad",44.8 lakhs,1288 SqFeet,3478,3 Bedroom,7 days ago
28," in Muthangi, Hyderabad",32.5 lakhs,906 SqFeet,3587,2 Bedroom,7 days ago
29," in Kistareddypet, Hyderabad",35.18 lakhs,918 SqFeet,3832,2 Bedroom,8 days ago
30," in Kistareddypet, Hyderabad",36.18 lakhs,999 SqFeet,3622,2 Bedroom,7 days ago
31," in Beeramguda, Hyderabad",45.18 lakhs,944 SqFeet,4786,2 Bedroom,8 days ago
32," in Beeramguda, Hyderabad",45.2 lakhs,958 SqFeet,4718,2 Bedroom,8 days ago
33," in Patelguda, Hyderabad",35.05 lakhs,918 SqFeet,3818,2 Bedroom,9 days ago
34," in Patancheru, Hyderabad",34.25 lakhs,912 SqFeet,3755,2 Bedroom,9 days ago
35," in Kistareddypet, Hyderabad",35.15 lakhs,914 SqFeet,3846,2 Bedroom,9 days ago
36," in Kukatpally, Hyderabad",56 lakhs,1230 SqFeet,4553,2 Bedroom,Yesterday
37," in Hydershakote, Hyderabad",68 lakhs,1155 SqFeet,5887,2 Bedroom,Yesterday
38," Hitech City, Hyderabad",1.36 crore,1820 SqFeet,7499,3 Bedroom,13 days ago
39," in Moosapet, Hyderabad",1.12 crore,1500 SqFeet,7499,2 Bedroom,Yesterday
40," in Kokapet, Hyderabad",68 lakhs,1350 SqFeet,5037,2 Bedroom,Yesterday
41," in Patancheru, Hyderabad",37.47 lakhs,1108 SqFeet,3382,2 Bedroom,15 days ago
42," in Madhapur, Hyderabad",1.35 crore,1560 SqFeet,8654,3 Bedroom,6 days ago
43," in Muthangi, Hyderabad",38.4 lakhs,1078 SqFeet,3562,2 Bedroom,15 days ago
44," in Indresham, Hyderabad",36.66 lakhs,1019 SqFeet,3598,2 Bedroom,15 days ago
45," in Indresham, Hyderabad",36.16 lakhs,1018 SqFeet,3552,2 Bedroom,16 days ago
46," in Muthangi, Hyderabad",35.18 lakhs,1011 SqFeet,3480,2 Bedroom,16 days ago
47," in Kukatpally, Hyderabad",75.6 lakhs,1260 SqFeet,6000,2 Bedroom,6 days ago
48," in Attapur, Hyderabad",4.28 crores,5345 SqFeet,8000,4 Bedroom,16 days ago
49,,1.19 crore,1250 SqFeet,9500,2 Bedroom,4 days ago
50," in Patelguda, Hyderabad",38.16 lakhs,1019 SqFeet,3745,2 Bedroom,16 days ago
51," in Kondapur, Hyderabad",80 lakhs,1300 SqFeet,6154,2 Bedroom,7 days ago
52," in Kondapur, Hyderabad",1.4 crore,2200 SqFeet,6364,3 Bedroom,7 days ago
53," Banjara Hills, Hyderabad",4.93 crores,4287 SqFeet,11500,4 Bedroom,17 days ago
54," Gaghan Pahad, Hyderabad",75.17 lakhs,1285 SqFeet,5850,2 Bedroom,17 days ago
55," Vinay Iconia, Kondapur",1.5 crore,1775 SqFeet,8451,3 Bedroom,6 days ago
56," in Tellapur, Hyderabad",57 lakhs,1315 SqFeet,4335,2 Bedroom,9 days ago
57," Pacifica Hillcrest, Gachibowli",1.19 crore,1250 SqFeet,9500,2 Bedroom,6 days ago
58," Banjara Hills, Hyderabad",1.2 crore,1926 SqFeet,6231,3 Bedroom,7 days ago
59," Jubilee Hills, Hyderabad",5 crores,3299 SqFeet,15156,3 Bedroom,7 days ago
60," in Tellapur, Hyderabad",75 lakhs,1280 SqFeet,5859,2 Bedroom,10 days ago
61," in Manikonda, Hyderabad",65 lakhs,1200 SqFeet,5417,2 Bedroom,7 days ago
62," in Kistareddypet, Hyderabad",39.35 lakhs,1018 SqFeet,3865,2 Bedroom,20 days ago
63," in Narsingi, Hyderabad",2 crores,2255 SqFeet,8869,3 Bedroom,7 days ago
64," in Manikonda, Hyderabad",75 lakhs,1280 SqFeet,5859,2 Bedroom,11 days ago
65," in Narsingi, Hyderabad",90.4 lakhs,1310 SqFeet,6901,2 Bedroom,11 days ago
66," in Somajiguda, Hyderabad",4 crores,3278 SqFeet,12203,3 Bedroom,8 days ago
67," Hitech City, Hyderabad",1.5 - 2 crores,2450 SqFeet,,3 Bedroom,7 days ago
68," in Nanakramguda, Hyderabad",2 crores,2010 SqFeet,9950,3 Bedroom,9 days ago
69," in Indresham, Hyderabad",39.88 lakhs,1140 SqFeet,3498,2 Bedroom,22 days ago
70," in Pocharam, Hyderabad",44.15 lakhs,1088 SqFeet,4058,2 Bedroom,22 days ago
71," in Kistareddypet, Hyderabad",37.33 lakhs,1038 SqFeet,3596,2 Bedroom,22 days ago
72," in Muthangi, Hyderabad",38.15 lakhs,975 SqFeet,3913,2 Bedroom,22 days ago
73," in Muthangi, Hyderabad",42.1 lakhs,1016 SqFeet,4144,2 Bedroom,22 days ago
74," in Muthangi, Hyderabad",32.32 lakhs,1001 SqFeet,3229,2 Bedroom,23 days ago
75," Rajendra Nagar, Hyderabad",85 lakhs,1506 SqFeet,5644,3 Bedroom,23 days ago
76," in Serilingampally, Hyderabad",1.33 crore,1824 SqFeet,7299,3 Bedroom,23 days ago
77," Bandlaguda Jagir, Hyderabad",69.3 lakhs,1136 SqFeet,6100,2 Bedroom,23 days ago
78," in Aminpur, Hyderabad",90 lakhs,1509 SqFeet,5964,3 Bedroom,10 days ago
79," in Gopanapalli, Hyderabad",1.05 crore,1690 SqFeet,6199,3 Bedroom,23 days ago
80," in Gopanapalli, Hyderabad",1.17 crore,1890 SqFeet,6199,3 Bedroom,23 days ago
81," in Gopanapalli, Hyderabad",79.97 lakhs,1290 SqFeet,6199,2 Bedroom,23 days ago
82," Candeur Cresent, Lingampally",1.6 crore,1600 SqFeet,10000,3 Bedroom,10 days ago
83," in Patancheru, Hyderabad",38.38 lakhs,1038 SqFeet,3697,2 Bedroom,23 days ago
84," in Bachupally, Hyderabad",95.7 lakhs,1595 SqFeet,6000,3 Bedroom,23 days ago
85," in Kokapet, Hyderabad",83.85 lakhs,1290 SqFeet,6500,2 Bedroom,23 days ago
86," in Kokapet, Hyderabad",1.8 crore,2210 SqFeet,8145,3 Bedroom,10 days ago
87," in Tellapur, Hyderabad",75.6 lakhs,1200 SqFeet,6300,2 Bedroom,23 days ago
88," in Kokapet, Hyderabad",78 lakhs,1280 SqFeet,6094,2 Bedroom,14 days ago
89,,62 lakhs,1080 SqFeet,5741,2 Bedroom,12 days ago
90," in Patelguda, Hyderabad",45.45 lakhs,1222 SqFeet,3719,2 Bedroom,25 days ago
91," in Muthangi, Hyderabad",38.99 lakhs,1023 SqFeet,3811,2 Bedroom,25 days ago
92," in Kistareddypet, Hyderabad",50.56 lakhs,1123 SqFeet,4502,2 Bedroom,25 days ago
93," in Satamrai, Hyderabad",83.07 lakhs,1420 SqFeet,5850,2 Bedroom,25 days ago
94," Bandlaguda Suncity, Hyderabad",85 lakhs,1400 SqFeet,6071,2 Bedroom,13 days ago
95," in Indresham, Hyderabad",46.17 lakhs,1241 SqFeet,3720,2 Bedroom,25 days ago
96," in Hafeezpet, Hyderabad",1.28 crore,1710 SqFeet,7499,3 Bedroom,26 days ago
97," in Gopanapalli, Hyderabad",65 lakhs,1300 SqFeet,5000,2 Bedroom,13 days ago
98," Gardenia Towers, Kompalli",68.95 lakhs,1300 SqFeet,5304,2 Bedroom,13 days ago
99," in Nanakramguda, Hyderabad",1.5 crore,1800 SqFeet,8333,3 Bedroom,18 days ago
100," in Muthangi, Hyderabad",39.18 lakhs,1199 SqFeet,3268,2 Bedroom,26 days ago
101," in Indresham, Hyderabad",40.4 lakhs,1244 SqFeet,3248,2 Bedroom,27 days ago
102," in Aminpur, Hyderabad",86 lakhs,1509 SqFeet,5699,3 Bedroom,28 days ago
103," in Beeramguda, Hyderabad",39.55 lakhs,1173 SqFeet,3372,2 Bedroom,27 days ago
104," in Beeramguda, Hyderabad",45.55 lakhs,1255 SqFeet,3629,2 Bedroom,28 days ago
105," in Patelguda, Hyderabad",40.35 lakhs,1108 SqFeet,3642,2 Bedroom,28 days ago
106," in Aminpur, Hyderabad",50 lakhs,1197 SqYards,,2 Bedroom,16 days ago
107," in Kistareddypet, Hyderabad",46.35 lakhs,1205 SqFeet,3846,2 Bedroom,28 days ago
108," in Muthangi, Hyderabad",46.11 lakhs,1111 SqFeet,4150,2 Bedroom,28 days ago
109," in Muthangi, Hyderabad",32.25 lakhs,1044 SqFeet,3089,2 Bedroom,29 days ago
110," in Indresham, Hyderabad",32 lakhs,950 SqFeet,3368,2 Bedroom,Jul 17
111," in Patancheru, Hyderabad",46.47 lakhs,1172 SqFeet,3965,2 Bedroom,29 days ago
112," in Beeramguda, Hyderabad",45 lakhs,1000 SqFeet,4500,2 Bedroom,Jul 17
113," in Aminpur, Hyderabad",60 lakhs,1449 SqFeet,4141,3 Bedroom,21 days ago
114," in Kollur, Hyderabad",5 - 10 crores,300 SqYards,,2 Bedroom,17 days ago
115," in Kismatpur, Hyderabad",3.25 crores,5000 SqFeet,6500,4 Bedroom,23 days ago
116," in Tellapur, Hyderabad",57 lakhs,1320 SqFeet,4318,2 Bedroom,23 days ago
117," in Kistareddypet, Hyderabad",49.52 lakhs,1355 SqFeet,3655,3 Bedroom,Jul 14
118," in Indresham, Hyderabad",42.55 lakhs,1322 SqFeet,3219,3 Bedroom,Jul 14
119," in Muthangi, Hyderabad",37.47 lakhs,1142 SqFeet,3281,2 Bedroom,Jul 14
120," in Patelguda, Hyderabad",48.99 lakhs,1092 SqFeet,4487,2 Bedroom,Jul 14
121," in Gandipet, Hyderabad",1.8 crore,2540 SqFeet,7087,3 Bedroom,21 days ago
122," in Kondapur, Hyderabad",2 crores,2415 SqFeet,8282,3 Bedroom,21 days ago
123," KPHB Colony, Hyderabad",40 lakhs,603 SqFeet,6633,2 Bedroom,20 days ago
124," in Patancheru, Hyderabad",38.78 lakhs,1255 SqFeet,3090,2 Bedroom,Jul 13
125," in Beeramguda, Hyderabad",38.78 lakhs,1142 SqFeet,3396,2 Bedroom,Jul 13
126," in Yadagirigutta, Hyderabad",26 lakhs,450 SqFeet,5778,1 Bedroom,22 days ago
127," in Muthangi, Hyderabad",34.35 lakhs,1144 SqFeet,3003,2 Bedroom,Jul 13
128," in Kistareddypet, Hyderabad",41.27 lakhs,926 SqFeet,4456,2 Bedroom,Jul 13
129," in Indresham, Hyderabad",32 lakhs,950 SqYards,,2 Bedroom,Jul 12
130," in Indresham, Hyderabad",45 lakhs,1355 SqFeet,3321,3 Bedroom,Jul 13
131," in Beeramguda, Hyderabad",56 lakhs,1100 SqFeet,5091,2 Bedroom,Jul 11
132," in Isnapur, Hyderabad",40 - 60 lacs,1030 SqFeet,,2 Bedroom,23 days ago
133," in Indresham, Hyderabad",33.15 lakhs,1128 SqFeet,2939,2 Bedroom,Jul 10
134," Alkapur Township, Hyderabad",85 lakhs,1350 SqFeet,6296,3 Bedroom,27 days ago
135," in Kokapet, Hyderabad",60 lacs - 1 crore,1500 SqFeet,,2 Bedroom,28 days ago
136," in Patancheru, Hyderabad",39.12 lakhs,1125 SqFeet,3477,2 Bedroom,Jul 8
137," Alkapur Township, Hyderabad",87 lakhs,1444 SqFeet,6025,3 Bedroom,27 days ago
138," in Muthangi, Hyderabad",40.12 lakhs,1012 SqFeet,3964,2 Bedroom,Jul 8
139," in Muthangi, Hyderabad",41.12 lakhs,1015 SqFeet,4051,2 Bedroom,Jul 8
140," in Muthangi, Hyderabad",31.45 lakhs,1000 SqFeet,3145,2 Bedroom,Jul 6
141," in Indresham, Hyderabad",32.9 lakhs,1024 SqFeet,3213,2 Bedroom,Jul 6
142," in Indresham, Hyderabad",32.12 lakhs,1018 SqFeet,3155,2 Bedroom,Jul 6
143," in Indresham, Hyderabad",34.14 lakhs,985 SqFeet,3466,2 Bedroom,Jul 6
144," in Patancheru, Hyderabad",32.45 lakhs,1008 SqFeet,3219,2 Bedroom,Jul 6
145," in Beeramguda, Hyderabad",36.55 lakhs,935 SqFeet,3909,2 Bedroom,Jul 4
146," Cloud 33, Bachupally",90 lakhs,1533 SqFeet,5871,3 Bedroom,Jul 13
147," in Indresham, Hyderabad",35.8 lakhs,955 SqFeet,3749,2 Bedroom,Jul 4
148," in Muthangi, Hyderabad",30.5 lakhs,962 SqFeet,3170,2 Bedroom,Jul 5
149," in Muthangi, Hyderabad",35.55 lakhs,950 SqFeet,3742,2 Bedroom,Jul 4
150," in Kistareddypet, Hyderabad",35.25 lakhs,910 SqFeet,3874,2 Bedroom,Jul 3
151," in Kistareddypet, Hyderabad",35.35 lakhs,920 SqFeet,3842,2 Bedroom,Jul 3
152," in Aminpur, Hyderabad",80 lakhs,1550 SqFeet,5161,3 Bedroom,Jul 11
153," in Nagole, Hyderabad",53.25 lakhs,1065 SqFeet,5000,2 Bedroom,Jul 14
154," in Beeramguda, Hyderabad",41.45 lakhs,1248 SqFeet,3321,2 Bedroom,Jul 1
155," in Aminpur, Hyderabad",54 lakhs,1108 SqFeet,4874,2 Bedroom,Jun 30
156," in Aminpur, Hyderabad",55 lakhs,1112 SqFeet,4946,2 Bedroom,Jun 30
157," Cloud 33, Bachupally",90 lakhs,1533 SqFeet,5871,3 Bedroom,
158," in Kukatpally, Hyderabad",1.1 crore,1149 SqFeet,9574,2 Bedroom,Jul 12
159," in Serilingampally, Hyderabad",1.7 crore,2656 SqFeet,6401,3 Bedroom,Jul 13
160," Road area, Hyderabad",60 lakhs,1220 SqFeet,4918,2 Bedroom,Jul 14
161," in Kistareddypet, Hyderabad",40.7 lakhs,1200 SqFeet,3392,2 Bedroom,Jul 1
162," in Kistareddypet, Hyderabad",56.75 lakhs,1444 SqFeet,3930,3 Bedroom,Jul 1
163," in Kistareddypet, Hyderabad",90 lakhs,1177 SqFeet,7647,2 Bedroom,Jun 30
164," in Muthangi, Hyderabad",38.7 lakhs,1207 SqFeet,3206,2 Bedroom,Jul 1
165," in Indresham, Hyderabad",39.89 lakhs,1182 SqFeet,3375,2 Bedroom,Jul 1
166," in Pocharam, Hyderabad",37.14 lakhs,1091 SqFeet,3404,2 Bedroom,Jul 1
167," in Kistareddypet, Hyderabad",37.77 lakhs,1056 SqFeet,3577,2 Bedroom,Jun 29
168," in Aminpur, Hyderabad",53 lakhs,1102 SqFeet,4809,2 Bedroom,Jun 29
169," in Isnapur, Hyderabad",41 lakhs,1040 SqFeet,3942,2 Bedroom,Jul 12
170," in Patelguda, Hyderabad",44 lakhs,1128 SqFeet,3901,2 Bedroom,Jun 28
171," in Patancheru, Hyderabad",35.1 lakhs,1132 SqFeet,3101,2 Bedroom,Jun 29
172," in Kistareddypet, Hyderabad",35.3 lakhs,1043 SqFeet,3384,2 Bedroom,Jun 29
173," in Kistareddypet, Hyderabad",43.45 lakhs,1000 SqFeet,4345,2 Bedroom,Jun 28
174," in Muthangi, Hyderabad",32 lakhs,912 SqFeet,3509,2 Bedroom,Jun 29
175," in Patancheru, Hyderabad",40.22 lakhs,1095 SqFeet,3673,2 Bedroom,Jun 27
176," Prestige Clairemont, Kokapet",1.8 crore,2126 SqFeet,8467,3 Bedroom,Jul 6
177," in Tellapur, Hyderabad",60 lacs - 1 crore,1500 SqFeet,,2 Bedroom,Jul 7
178," Candeur Cresent, Lingampally",1.5 crore,2656 SqFeet,5648,3 Bedroom,Jul 9
179," in Gachibowli, Hyderabad",60 lacs - 1 crore,1500 SqFeet,,2 Bedroom,Jul 7
180," in Indresham, Hyderabad",44.22 lakhs,980 SqFeet,4512,2 Bedroom,Jun 26
181," in Indresham, Hyderabad",39.44 lakhs,1175 SqFeet,3357,2 Bedroom,Jun 26
182," in Narsingi, Hyderabad",87.84 lakhs,1440 SqFeet,6100,3 Bedroom,Jun 26
183," in Narsingi, Hyderabad",1.55 crore,2388 SqFeet,6500,3 Bedroom,Jun 24
184," in Indresham, Hyderabad",37.37 lakhs,1011 SqFeet,3696,2 Bedroom,Jun 24
185," in Muthangi, Hyderabad",35.1 lakhs,1086 SqFeet,3232,2 Bedroom,Jun 24
186," in Kistareddypet, Hyderabad",46.75 lakhs,1382 SqFeet,3383,3 Bedroom,Jun 24
187," in Muthangi, Hyderabad",39.39 lakhs,1126 SqFeet,3498,2 Bedroom,Jun 23
188," in Gachibowli, Hyderabad",60 lacs - 1 crore,1500 SqFeet,,2 Bedroom,Jul 7
189," in Shamshabad, Hyderabad",55 lakhs,945 SqYards,,2 Bedroom,Jul 3
190," in Patancheru, Hyderabad",38.38 lakhs,1111 SqFeet,3455,2 Bedroom,Jun 23
191," in Patancheru, Hyderabad",38.65 lakhs,965 SqFeet,4005,2 Bedroom,Jun 23
192," in Patancheru, Hyderabad",43.55 lakhs,950 SqFeet,4584,2 Bedroom,Jun 22
193," in Narsingi, Hyderabad",88.82 lakhs,1615 SqFeet,5500,3 Bedroom,Jun 22
194," in Tellapur, Hyderabad",60 lacs - 1 crore,1500 SqFeet,,2 Bedroom,Jul 6
195," in Tellapur, Hyderabad",60 lacs - 1 crore,1501 SqFeet,,2 Bedroom,Jul 6
196," in Kistareddypet, Hyderabad",66 lakhs,1409 SqFeet,4684,2 Bedroom,Jun 22
197," in Muthangi, Hyderabad",48 lakhs,1209 SqFeet,3970,2 Bedroom,Jun 22
198," in Indresham, Hyderabad",44 lakhs,998 SqFeet,4409,2 Bedroom,Jun 22
199," Sarovar Zenith, Nallagandla",1.85 crore,1875 SqFeet,9867,3 Bedroom,Jul 5
200," in Pocharam, Hyderabad",44.55 lakhs,1212 SqFeet,3676,2 Bedroom,Jun 21
201," in Pocharam, Hyderabad",45.35 lakhs,1190 SqFeet,3811,2 Bedroom,Jun 21
202," in Pocharam, Hyderabad",45 lakhs,1109 SqFeet,4058,2 Bedroom,Jun 22
203," in Muthangi, Hyderabad",39.55 lakhs,1066 SqFeet,3710,2 Bedroom,Jun 21
204," in Muthangi, Hyderabad",33.25 lakhs,999 SqFeet,3328,2 Bedroom,Jun 21
205," in Patancheru, Hyderabad",38.45 lakhs,1088 SqFeet,3534,2 Bedroom,Jun 21
206," in Kondapur, Hyderabad",88 lakhs,1270 SqFeet,6929,2 Bedroom,Jul 4
